account_id,r,rd
1114792376,1457.5186001669333,131.01432592180842
387624608,1436.297141267129,143.21852668632215
155370747,1547.2862172483017,120.8493242810773
891566317,1226.167481824271,145.80064563682305
126238768,1539.2126613447615,148.66343132773608
1674920452,1855.1952096586344,238.84709615393336
196584347,1551.9253443869911,244.90695497827306
859881158,1440.510999481517,294.1477647343319
370600515,1377.1415938627201,151.76523018704182
191116892,1725.0789860997027,230.36963902870977
319698413,1694.2952011226341,231.38823710380376
117267178,1337.0746640377338,229.08712280795405
196490133,1836.8484350102724,123.24979700673279
107855479,1836.8484350102724,123.24979700673279
92949094,1463.3975345434023,123.53331105983696
327445152,1324.5337221349728,132.5047423087467
27178898,1836.8484350102724,123.24979700673279
295697470,1812.120322715635,111.99981917356898
1348924193,1418.414956500468,156.31783729560968
85872397,1376.4765919246063,276.9521424812456
433409979,1376.4765919246063,276.9521424812456
1486835175,1317.6002254131245,244.82465295194538
1036304090,1498.7282638022994,239.569827361774
87095102,1339.834390441772,284.0249371199974
384854668,1434.1845938651602,160.8626529173969
122817493,2121.9833935296824,99.02041981792046
193884241,1678.5447852415764,122.96540246937289
163458082,1685.026109197937,170.16743128931196
170809075,1678.8466982677955,121.87938500781809
1102532597,1601.7254216530728,272.8531542946803
972243573,1666.4073893447592,169.02737429021133
198851570,1476.1722238575974,110.38526509926069
228516683,1492.9028282710626,112.0625261254739
256444993,1487.5685616859464,190.18293560286733
275826428,1065.13860530399,192.25249163478065
101555768,1065.13860530399,192.25249163478065
392006194,1107.3265426526634,204.40569563736346
199666759,1118.346607639731,216.31352605636738
122255316,1536.9717825105924,222.5318528512969
1131442601,1350.017215877105,212.26529644594424
1004306103,1350.017215877105,212.26529644594424
1139204601,1350.017215877105,212.26529644594424
909826780,1350.017215877105,212.26529644594424
